"['USD', 'JPY', 'CAD', 'GBP', 'NZD', 'INR']",Date
"[1.2436, 135.95, 1.5325, 0.87335, 1.6943, 79.1055]",2018-01-26
"[1.1198, 118.51, 1.4796, 0.9282, 1.7254, 79.2935]",2019-08-09
"[1.1387, 125.92, 1.5189, 0.8665, 1.652, 78.0715]",2019-03-21
"[1.2239, 135.66, 1.527, 0.88085, 1.6758, 78.2225]",2018-01-22
"[1.1879, 130.24, 1.5299, 0.87445, 1.6995, 79.901]",2018-05-09
"[1.1455, 124.7, 1.5172, 0.89913, 1.6908, 80.6365]",2019-01-09
"[1.1219, 125.01, 1.4987, 0.85418, 1.6599, 77.593]",2019-04-04
"[1.12, 124.73, 1.4919, 0.86, 1.6544, 77.0035]",2019-04-02
"[1.1137, 120.95, 1.4676, 0.8456, 1.6906, 78.9355]",2019-12-12
"[1.1205, 121.93, 1.4706, 0.89975, 1.6937, 76.781]",2019-07-09
"[1.2312, 129.77, 1.5858, 0.8932, 1.7014, 80.3205]",2018-03-02
"[1.1291, 124.72, 1.5132, 0.8533, 1.6345, 77.7555]",2019-03-26
"[1.1389, 123.91, 1.5101, 0.8859, 1.6817, 81.0055]",2019-01-16
"[1.1171, 123.27, 1.4952, 0.8828, 1.7173, 77.86]",2019-05-22
"[1.1596, 128.31, 1.5223, 0.8732, 1.6676, 78.8705]",2018-06-15
"[1.1316, 121.64, 1.4928, 0.89425, 1.7261, 78.6985]",2019-06-21
"[1.1585, 129.13, 1.5137, 0.89028, 1.7772, 83.6705]",2018-09-12
"[1.1034, 120.72, 1.4561, 0.86158, 1.7426, 78.652]",2019-11-08
"[1.1189, 122.19, 1.4621, 0.85208, 1.6638, 79.812]",2019-12-30
"[1.1075, 120.15, 1.4675, 0.84195, 1.689, 78.707]",2019-12-09
"[1.187, 129.45, 1.5398, 0.8793, 1.7019, 79.63]",2018-05-08
"[1.1358, 126.59, 1.506, 0.85548, 1.6535, 78.351]",2019-03-19
"[1.1095, 120.88, 1.4486, 0.86328, 1.7481, 78.615]",2019-10-29
"[1.207, 131.95, 1.5549, 0.877, 1.7116, 80.4645]",2018-04-27
"[1.1023, 120.75, 1.4656, 0.85218, 1.7019, 78.9785]",2019-12-02
"[1.1487, 130.02, 1.5019, 0.87403, 1.6954, 83.28]",2018-11-07
"[1.1579, 128.31, 1.5089, 0.89878, 1.7352, 81.1815]",2018-08-23
"[1.1403, 126.11, 1.4996, 0.8933, 1.7335, 79.8405]",2018-08-13
"[1.1265, 128.2, 1.4873, 0.87563, 1.6699, 82.1106]",2018-11-12
"[1.167, 130.94, 1.5443, 0.89445, 1.7251, 80.321]",2018-07-20
"[1.137, 126.02, 1.4942, 0.89498, 1.7267, 79.807]",2018-08-16
"[1.102, 120.09, 1.4663, 0.85715, 1.7165, 78.8165]",2019-11-26
"[1.1684, 129.79, 1.5245, 0.8907, 1.7165, 80.1965]",2018-07-30
"[1.1301, 122.36, 1.4819, 0.89443, 1.6956, 77.928]",2019-07-02
"[1.1611, 130.92, 1.5389, 0.89118, 1.7175, 79.684]",2018-07-18
"[1.1083, 117.18, 1.4754, 0.90823, 1.7458, 79.5905]",2019-08-28
"[1.0935, 118.21, 1.4493, 0.88778, 1.7388, 77.0685]",2019-09-27
"[1.1992, 131.03, 1.5404, 0.8818, 1.7041, 79.8965]",2018-05-03
"[1.1076, 117.79, 1.4762, 0.91623, 1.7286, 79.441]",2019-08-20
"[1.1034, 119.95, 1.4608, 0.8566, 1.7255, 79.163]",2019-11-15
"[1.1172, 122.34, 1.5074, 0.87595, 1.7107, 78.433]",2019-05-17
"[1.1574, 129.99, 1.5054, 0.8764, 1.7768, 85.1445]",2018-10-12
"[1.1615, 128.74, 1.5238, 0.89275, 1.7647, 83.32]",2018-09-07
"[1.1781, 130.69, 1.5074, 0.87325, 1.7049, 80.1115]",2018-05-18
"[1.162, 129.68, 1.5112, 0.89, 1.7743, 83.7]",2018-09-13
"[1.0898, 118.0, 1.4466, 0.88955, 1.7528, 77.492]",2019-10-01
"[1.1236, 124.68, 1.5006, 0.85658, 1.6458, 77.8885]",2019-04-01
"[1.1617, 129.43, 1.5144, 0.89145, 1.7204, 79.7915]",2018-08-02
"[1.1185, 121.17, 1.5098, 0.88618, 1.704, 77.472]",2019-06-03
"[1.1716, 130.18, 1.5387, 0.8917, 1.7204, 80.673]",2018-07-23
"[1.2492, 137.22, 1.5387, 0.8785, 1.696, 80.0205]",2018-02-02
"[1.1538, 127.59, 1.5381, 0.8737, 1.6846, 78.4145]",2018-06-21
"[1.1589, 128.72, 1.5158, 0.90085, 1.7202, 79.5295]",2018-08-08
"[1.1328, 125.23, 1.4992, 0.8762, 1.6473, 80.8835]",2019-02-18
"[1.1264, 125.3, 1.5067, 0.86168, 1.6705, 77.6855]",2019-04-11
"[1.1187, 119.1, 1.4785, 0.9183, 1.7073, 79.215]",2019-08-06
"[1.126, 121.77, 1.4712, 0.89703, 1.6912, 77.1095]",2019-07-05
"[1.1428, 129.31, 1.4996, 0.87313, 1.7105, 83.3785]",2018-11-06
"[1.1706, 130.06, 1.5393, 0.89178, 1.7192, 80.71]",2018-07-24
"[1.1362, 122.4, 1.4947, 0.89603, 1.7004, 78.5705]",2019-06-26
"[1.1805, 130.66, 1.5077, 0.8735, 1.7125, 79.9645]",2018-05-17
"[1.1058, 120.03, 1.4679, 0.8598, 1.7236, 79.271]",2019-11-22
"[1.2369, 131.77, 1.5993, 0.8863, 1.6853, 80.1975]",2018-03-14
"[1.1325, 124.65, 1.5204, 0.85638, 1.6413, 78.046]",2019-03-25
"[1.138, 122.6, 1.4893, 0.89655, 1.696, 78.524]",2019-06-28
"[1.1992, 133.62, 1.4931, 0.8867, 1.6654, 76.263]",2018-01-10
"[1.1077, 120.46, 1.4633, 0.85573, 1.7259, 79.3975]",2019-11-19
"[1.1188, 118.48, 1.4872, 0.92673, 1.74, 79.7425]",2019-08-14
"[1.147, 129.05, 1.4947, 0.8802, 1.7379, 84.123]",2018-10-19
"[1.1246, 125.36, 1.5042, 0.86183, 1.6694, 78.3215]",2019-04-08
"[1.1969, 130.37, 1.541, 0.88235, 1.7067, 80.027]",2018-05-04
"[1.1187, 122.61, 1.5053, 0.88318, 1.7109, 77.8]",2019-05-24
"[1.0979, 117.23, 1.4612, 0.89045, 1.735, 77.8415]",2019-10-04
"[1.1203, 122.81, 1.5039, 0.87463, 1.7063, 78.469]",2019-05-16
"[1.1115, 121.81, 1.4624, 0.85055, 1.692, 78.895]",2019-12-18
"[1.1144, 120.97, 1.4639, 0.86435, 1.7488, 79.2735]",2019-10-18
"[1.1349, 122.93, 1.4866, 0.89718, 1.6941, 78.236]",2019-07-01
"[1.1305, 128.16, 1.4949, 0.8837, 1.6601, 81.37]",2018-11-15
"[1.1878, 130.22, 1.5172, 0.8781, 1.7144, 79.8905]",2018-05-10
"[1.0925, 117.47, 1.4467, 0.8897, 1.7512, 77.8275]",2019-10-02
"[1.1261, 124.42, 1.5101, 0.85118, 1.6568, 77.86]",2019-03-27
"[1.2214, 130.72, 1.5608, 0.88415, 1.6905, 79.623]",2018-02-28
"[1.2276, 130.43, 1.5756, 0.87573, 1.685, 79.954]",2018-04-04
"[1.1007, 119.23, 1.4562, 0.87058, 1.7551, 78.696]",2019-10-15
"[1.2171, 129.98, 1.5654, 0.8852, 1.6866, 79.3245]",2018-03-01
"[1.2065, 135.35, 1.5128, 0.88953, 1.6955, 76.6005]",2018-01-02
"[1.2316, 129.75, 1.5889, 0.872, 1.7031, 80.183]",2018-03-22
"[1.1318, 128.15, 1.4856, 0.88873, 1.7322, 83.7305]",2018-10-31
"[1.1006, 119.79, 1.4592, 0.8576, 1.7228, 79.319]",2019-11-13
"[1.2203, 135.21, 1.5185, 0.88568, 1.68, 78.011]",2018-01-17
"[1.1233, 125.44, 1.503, 0.85938, 1.6662, 77.787]",2019-04-05
"[1.1008, 119.88, 1.4648, 0.85515, 1.7187, 78.937]",2019-11-25
"[1.1076, 117.77, 1.473, 0.91033, 1.7208, 78.804]",2019-08-16
"[1.172, 131.65, 1.5399, 0.8827, 1.7262, 80.3515]",2018-07-16
"[1.1265, 121.9, 1.5018, 0.89093, 1.7241, 78.608]",2019-06-14
"[1.1736, 130.84, 1.5298, 0.8922, 1.7213, 80.4445]",2018-07-31
"[1.1735, 130.53, 1.5421, 0.88482, 1.7266, 80.7045]",2018-07-11
"[1.1973, 135.34, 1.488, 0.88413, 1.6702, 76.0375]",2018-01-08
"[1.15, 130.23, 1.4907, 0.87448, 1.7792, 85.3605]",2018-10-10
"[1.1354, 128.31, 1.5076, 0.88885, 1.6398, 80.066]",2018-12-05
"[1.1094, 120.44, 1.4618, 0.84453, 1.6886, 79.0435]",2019-12-06
"[1.1285, 128.13, 1.5095, 0.89835, 1.6613, 81.225]",2018-12-14
"[1.1362, 124.6, 1.5117, 0.88303, 1.6895, 80.9335]",2019-01-21
"[1.1087, 120.69, 1.4487, 0.86328, 1.7482, 78.4355]",2019-10-28
"[1.2341, 130.9, 1.6025, 0.8848, 1.6915, 80.155]",2018-03-15
"[1.1106, 120.99, 1.4534, 0.862, 1.7504, 78.7705]",2019-10-30
"[1.142, 126.25, 1.4927, 0.89478, 1.7255, 79.74]",2018-08-20
"[1.1081, 120.45, 1.4707, 0.8461, 1.698, 79.2615]",2019-12-04
"[1.1403, 128.8, 1.5074, 0.88598, 1.6744, 80.6045]",2018-11-22
"[1.1533, 124.91, 1.5247, 0.90015, 1.6873, 81.3475]",2019-01-11
"[1.1193, 118.64, 1.4874, 0.92115, 1.7335, 79.175]",2019-08-08
"[1.1182, 118.61, 1.4775, 0.9188, 1.7138, 79.1529]",2019-08-05
"[1.1151, 121.27, 1.5115, 0.88693, 1.7134, 77.741]",2019-05-31
"[1.1707, 132.15, 1.5301, 0.88973, 1.7638, 84.983]",2018-09-27
"[1.1494, 129.63, 1.5044, 0.88425, 1.7492, 84.546]",2018-10-22
"[1.1737, 132.61, 1.5214, 0.8908, 1.7668, 85.219]",2018-09-26
"[1.0889, 117.59, 1.4426, 0.88573, 1.7375, 77.1615]",2019-09-30
"[1.2291, 131.31, 1.5848, 0.88893, 1.6931, 80.1315]",2018-03-09
"[1.2321, 131.15, 1.5895, 0.8749, 1.7098, 80.296]",2018-03-29
"[1.1025, 119.9, 1.4563, 0.8656, 1.7653, 78.768]",2019-10-16
"[1.1354, 124.25, 1.5128, 0.88, 1.6885, 81.046]",2019-01-22
"[1.2378, 132.31, 1.589, 0.8865, 1.6842, 80.284]",2018-03-13
"[1.2307, 130.02, 1.5914, 0.8907, 1.7026, 80.1275]",2018-03-05
"[1.1707, 131.81, 1.5403, 0.88725, 1.7191, 80.1405]",2018-07-17
"[1.1634, 129.55, 1.5338, 0.89824, 1.7633, 83.7175]",2018-09-06
"[1.1151, 121.04, 1.4662, 0.91623, 1.6883, 76.6965]",2019-07-31
"[1.1394, 122.25, 1.503, 0.89365, 1.7244, 79.0865]",2019-06-24
"[1.1003, 118.51, 1.4468, 0.89133, 1.7147, 78.872]",2019-09-11
"[1.1363, 128.7, 1.5011, 0.8844, 1.6709, 80.5385]",2018-11-26
"[1.1215, 121.03, 1.4665, 0.89968, 1.6543, 77.3085]",2019-07-22
"[1.1077, 120.27, 1.4666, 0.84073, 1.6945, 78.561]",2019-12-10
"[1.1155, 124.4, 1.5019, 0.85785, 1.6856, 77.259]",2019-05-03
"[1.1031, 119.4, 1.4576, 0.87983, 1.7529, 78.5245]",2019-10-14
"[1.104, 118.52, 1.4536, 0.893, 1.7194, 79.3815]",2019-09-10
"[1.1301, 122.78, 1.5004, 0.89248, 1.7086, 78.6445]",2019-06-10
"[1.1836, 130.26, 1.5313, 0.88123, 1.6789, 79.438]",2018-06-07
"[1.1386, 125.9, 1.4962, 0.85503, 1.6581, 81.1585]",2019-02-27
"[1.1388, 121.97, 1.5001, 0.89485, 1.714, 78.9725]",2019-06-25
"[1.1593, 128.84, 1.5111, 0.8994, 1.7421, 79.5825]",2018-08-09
"[1.1699, 127.33, 1.5038, 0.8768, 1.6681, 78.802]",2018-05-31
"[1.2017, 134.19, 1.5093, 0.89075, 1.6653, 76.5335]",2018-01-11
"[1.1266, 121.82, 1.5096, 0.88558, 1.6983, 78.018]",2019-06-06
"[1.1041, 120.29, 1.4607, 0.85743, 1.7348, 78.9905]",2019-11-11
"[1.1235, 124.45, 1.5, 0.8583, 1.65, 77.719]",2019-03-29
"[1.1418, 124.94, 1.5115, 0.86888, 1.6687, 81.232]",2019-01-28
"[1.1036, 117.28, 1.4658, 0.90565, 1.749, 78.8365]",2019-08-30
"[1.1117, 121.73, 1.4588, 0.85073, 1.6898, 79.032]",2019-12-19
"[1.1582, 129.17, 1.5263, 0.90328, 1.7637, 83.1035]",2018-09-05
"[1.0937, 116.05, 1.4627, 0.90885, 1.7385, 79.197]",2019-09-03
"[1.1296, 124.7, 1.4969, 0.87705, 1.6767, 79.801]",2019-02-12
"[1.1632, 126.76, 1.5093, 0.875, 1.6686, 78.388]",2018-05-30
"[1.2379, 134.75, 1.5269, 0.8794, 1.6881, 78.7055]",2018-01-29
"[1.1403, 123.2, 1.5328, 0.89988, 1.7045, 79.4315]",2019-01-04
"[1.1222, 124.72, 1.5099, 0.85905, 1.653, 78.733]",2019-03-08
"[1.103, 118.52, 1.4678, 0.90155, 1.7422, 78.3555]",2019-10-10
"[1.1417, 128.89, 1.4956, 0.8787, 1.7154, 82.7085]",2018-11-02
"[1.2382, 132.88, 1.5606, 0.86975, 1.6938, 81.458]",2018-04-19
"[1.1294, 125.09, 1.4961, 0.87185, 1.6549, 80.6985]",2019-02-19
"[1.166, 129.73, 1.5093, 0.905, 1.7413, 82.3405]",2018-08-29
"[1.2312, 132.41, 1.5601, 0.88463, 1.6754, 79.7295]",2018-02-21
"[1.1602, 128.88, 1.5047, 0.89483, 1.7191, 79.685]",2018-08-07
"[1.108, 121.19, 1.4582, 0.85533, 1.6716, 78.9525]",2019-12-24
"[1.114, 120.41, 1.4627, 0.89143, 1.6613, 76.8285]",2019-07-24
"[1.1391, 125.75, 1.4976, 0.89575, 1.7254, 79.9195]",2018-08-17
"[1.1146, 121.97, 1.4621, 0.83415, 1.6859, 79.1063]",2019-12-16
"[1.137, 128.81, 1.4887, 0.87535, 1.7085, 83.092]",2018-11-05
"[1.1268, 125.12, 1.4949, 0.87945, 1.6488, 80.203]",2019-02-14
"[1.1784, 129.83, 1.5161, 0.87418, 1.7115, 79.8925]",2018-05-16
"[1.1113, 120.81, 1.4644, 0.8684, 1.7564, 79.0785]",2019-10-17
"[1.2276, 130.72, 1.604, 0.87715, 1.7039, 80.037]",2018-03-20
"[1.1346, 124.57, 1.5098, 0.8749, 1.6809, 80.8655]",2019-02-08
"[1.1616, 128.08, 1.5443, 0.88173, 1.7046, 79.694]",2018-06-27
"[1.1138, 121.06, 1.468, 0.89633, 1.6767, 76.74]",2019-07-26
"[1.1427, 128.89, 1.5055, 0.89083, 1.674, 81.8825]",2018-11-19
"[1.1302, 124.6, 1.5155, 0.8589, 1.6433, 77.958]",2019-03-22
"[1.1883, 130.77, 1.5253, 0.879, 1.7222, 80.872]",2018-05-15
"[1.1058, 117.97, 1.4602, 0.8958, 1.7305, 79.4125]",2019-09-05
"[1.1275, 125.27, 1.5111, 0.86145, 1.6436, 78.5175]",2019-03-12
"[1.1109, 120.93, 1.4584, 0.86113, 1.7339, 78.529]",2019-11-05
"[1.1212, 125.01, 1.5064, 0.8593, 1.6916, 77.782]",2019-05-02
"[1.1009, 120.18, 1.4605, 0.8545, 1.7121, 78.5495]",2019-11-27
"[1.1215, 121.8, 1.4642, 0.89625, 1.6888, 76.8955]",2019-07-08
"[1.1273, 122.27, 1.5061, 0.88675, 1.7016, 78.332]",2019-06-07
"[1.2255, 135.54, 1.5246, 0.88365, 1.6831, 78.239]",2018-01-19
"[1.1393, 128.52, 1.4904, 0.88173, 1.719, 83.68]",2018-11-01
"[1.1658, 129.04, 1.5442, 0.88605, 1.7247, 79.813]",2018-06-29
"[1.1059, 119.96, 1.4711, 0.85715, 1.7222, 79.423]",2019-11-20
"[1.1096, 119.83, 1.4663, 0.89093, 1.7354, 78.7415]",2019-09-13
